29
10.7         0.0       	
10.5997      0.0954545    
10.4325      0.0636364    
10.3656      0.0318182    
10.2987              0  
10.165       0.127273    
9.8975       0.190909    
9.76375              0  
9.69687      0.0636364    
9.63      0.0954545    
9.56312       0.159091    
9.3625       0.318182    
9.22875       0.509091    
9.16187       0.572727    
9.12844       0.636364    
9.02812       0.827273    
8.96125       0.7    
8.89437       0.763636    
8.76062       0.954545    
8.42625       1.33636    
8.09188       1.59091    
7.69063        1.75    
7.35625        1.71818    
7.02187        1.59091    
6.88812        1.46364    
6.62063        1.46364    
6.48688        1.59091      
6.35313        1.46364    
4.8        1.46364    
       


